Gender,Year,Quarter,Industry,Organization_Size,Value
Femme,2024,AVG,Tous secteurs confondus,1 à 4 employés,119545
Femme,2024,AVG,Tous secteurs confondus,100 employés et plus,1292.5
Femme,2024,AVG,Tous secteurs confondus,20 à 99 employés,16187.5
Femme,2024,AVG,Tous secteurs confondus,5 à 19 employés,58687.5
Femme,2024,AVG,Tous secteurs confondus,Toutes les tailles,195712.5
Femme,2024,AVG,"Hébergement, restauration",1 à 4 employés,2975
Femme,2024,AVG,"Hébergement, restauration",100 employés et plus,200
Femme,2024,AVG,"Hébergement, restauration",20 à 99 employés,3472.5
Femme,2024,AVG,"Hébergement, restauration",5 à 19 employés,6820
Femme,2024,AVG,"Hébergement, restauration",Toutes les tailles,13467.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",1 à 4 employés,5217.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",100 employés et plus,157.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",20 à 99 employés,1020
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",5 à 19 employés,2857.5
Femme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",Toutes les tailles,9252.5
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",1 à 4 employés,2420
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",100 employés et plus,10
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",20 à 99 employés,255
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",5 à 19 employés,785
Femme,2024,AVG,"Agriculture, foresterie, pêche et chasse",Toutes les tailles,3470
Femme,2024,AVG,"Arts, divertissements, loisirs",1 à 4 employés,2077.5
Femme,2024,AVG,"Arts, divertissements, loisirs",100 employés et plus,17.5
Femme,2024,AVG,"Arts, divertissements, loisirs",20 à 99 employés,195
Femme,2024,AVG,"Arts, divertissements, loisirs",5 à 19 employés,910
Femme,2024,AVG,"Arts, divertissements, loisirs",Toutes les tailles,3200
Femme,2024,AVG,Construction,1 à 4 employés,2600
Femme,2024,AVG,Construction,100 employés et plus,125
Femme,2024,AVG,Construction,20 à 99 employés,650
Femme,2024,AVG,Construction,5 à 19 employés,1532.5
Femme,2024,AVG,Construction,Toutes les tailles,4907.5
Femme,2024,AVG,"Finances, assurances",1 à 4 employés,3942.5
Femme,2024,AVG,"Finances, assurances",100 employés et plus,95
Femme,2024,AVG,"Finances, assurances",20 à 99 employés,507.5
Femme,2024,AVG,"Finances, assurances",5 à 19 employés,1102.5
Femme,2024,AVG,"Finances, assurances",Toutes les tailles,5647.5
Femme,2024,AVG,"Soins, santé et aide sociale",1 à 4 employés,24785
Femme,2024,AVG,"Soins, santé et aide sociale",100 employés et plus,292.5
Femme,2024,AVG,"Soins, santé et aide sociale",20 à 99 employés,2627.5
Femme,2024,AVG,"Soins, santé et aide sociale",5 à 19 employés,12140
Femme,2024,AVG,"Soins, santé et aide sociale",Toutes les tailles,39845
Femme,2024,AVG,"Information, culture",1 à 4 employés,2005
Femme,2024,AVG,"Information, culture",100 employés et plus,0
Femme,2024,AVG,"Information, culture",20 à 99 employés,167.5
Femme,2024,AVG,"Information, culture",5 à 19 employés,637.5
Femme,2024,AVG,"Information, culture",Toutes les tailles,2810
Femme,2024,AVG,Fabrication,1 à 4 employés,2772.5
Femme,2024,AVG,Fabrication,100 employés et plus,25
Femme,2024,AVG,Fabrication,20 à 99 employés,557.5
Femme,2024,AVG,Fabrication,5 à 19 employés,2672.5
Femme,2024,AVG,Fabrication,Toutes les tailles,6027.5
Femme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",1 à 4 employés,102.5
Femme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",100 employés et plus,17.5
Femme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",20 à 99 employés,45
Femme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",5 à 19 employés,80
Femme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",Toutes les tailles,245
Femme,2024,AVG,Autres services (sauf administration publique),1 à 4 employés,10050
Femme,2024,AVG,Autres services (sauf administration publique),100 employés et plus,12.5
Femme,2024,AVG,Autres services (sauf administration publique),20 à 99 employés,875
Femme,2024,AVG,Autres services (sauf administration publique),5 à 19 employés,4957.5
Femme,2024,AVG,Autres services (sauf administration publique),Toutes les tailles,15895
Femme,2024,AVG,"Services professionnels, scientifiques et techniques",1 à 4 employés,31167.5
Femme,2024,AVG,"Services professionnels, scientifiques et techniques",100 employés et plus,40
Femme,2024,AVG,"Services professionnels, scientifiques et techniques",20 à 99 employés,535
Femme,2024,AVG,"Services professionnels, scientifiques et techniques",5 à 19 employés,8365
Femme,2024,AVG,"Services professionnels, scientifiques et techniques",Toutes les tailles,40107.5
Femme,2024,AVG,Immobilier et location et crédit-bail,1 à 4 employés,10787.5
Femme,2024,AVG,Immobilier et location et crédit-bail,100 employés et plus,35
Femme,2024,AVG,Immobilier et location et crédit-bail,20 à 99 employés,220
Femme,2024,AVG,Immobilier et location et crédit-bail,5 à 19 employés,1222.5
Femme,2024,AVG,Immobilier et location et crédit-bail,Toutes les tailles,12265
Femme,2024,AVG,Commerce de détail,1 à 4 employés,14022.5
Femme,2024,AVG,Commerce de détail,100 employés et plus,155
Femme,2024,AVG,Commerce de détail,20 à 99 employés,3845
Femme,2024,AVG,Commerce de détail,5 à 19 employés,11590
Femme,2024,AVG,Commerce de détail,Toutes les tailles,29612.5
Femme,2024,AVG,Transport et entrposage,1 à 4 employés,2200
Femme,2024,AVG,Transport et entrposage,100 employés et plus,50
Femme,2024,AVG,Transport et entrposage,20 à 99 employés,300
Femme,2024,AVG,Transport et entrposage,5 à 19 employés,1327.5
Femme,2024,AVG,Transport et entrposage,Toutes les tailles,3877.5
Femme,2024,AVG,Commerce de gros,1 à 4 employés,2420
Femme,2024,AVG,Commerce de gros,100 employés et plus,60
Femme,2024,AVG,Commerce de gros,20 à 99 employés,915
Femme,2024,AVG,Commerce de gros,5 à 19 employés,1687.5
Femme,2024,AVG,Commerce de gros,Toutes les tailles,5082.5
Tous,2024,AVG,Tous secteurs confondus,1 à 4 employés,611440
Tous,2024,AVG,Tous secteurs confondus,100 employés et plus,20755
Tous,2024,AVG,Tous secteurs confondus,20 à 99 employés,128577.5
Tous,2024,AVG,Tous secteurs confondus,5 à 19 employés,348537.5
Tous,2024,AVG,Tous secteurs confondus,Toutes les tailles,1109310
Tous,2024,AVG,"Hébergement, restauration",1 à 4 employés,14047.5
Tous,2024,AVG,"Hébergement, restauration",100 employés et plus,1385
Tous,2024,AVG,"Hébergement, restauration",20 à 99 employés,20152.5
Tous,2024,AVG,"Hébergement, restauration",5 à 19 employés,33965
Tous,2024,AVG,"Hébergement, restauration",Toutes les tailles,69550
Tous,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",1 à 4 employés,26835
Tous,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",100 employés et plus,1350
Tous,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",20 à 99 employés,5585
Tous,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",5 à 19 employés,17422.5
Tous,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",Toutes les tailles,51192.5
Tous,2024,AVG,"Agriculture, foresterie, pêche et chasse",1 à 4 employés,29542.5
Tous,2024,AVG,"Agriculture, foresterie, pêche et chasse",100 employés et plus,330
Tous,2024,AVG,"Agriculture, foresterie, pêche et chasse",20 à 99 employés,2587.5
Tous,2024,AVG,"Agriculture, foresterie, pêche et chasse",5 à 19 employés,11195
Tous,2024,AVG,"Agriculture, foresterie, pêche et chasse",Toutes les tailles,43655
Tous,2024,AVG,"Arts, divertissements, loisirs",1 à 4 employés,7820
Tous,2024,AVG,"Arts, divertissements, loisirs",100 employés et plus,575
Tous,2024,AVG,"Arts, divertissements, loisirs",20 à 99 employés,2870
Tous,2024,AVG,"Arts, divertissements, loisirs",5 à 19 employés,6595
Tous,2024,AVG,"Arts, divertissements, loisirs",Toutes les tailles,17860
Tous,2024,AVG,Construction,1 à 4 employés,88842.5
Tous,2024,AVG,Construction,100 employés et plus,1825
Tous,2024,AVG,Construction,20 à 99 employés,10812.5
Tous,2024,AVG,Construction,5 à 19 employés,40422.5
Tous,2024,AVG,Construction,Toutes les tailles,141902.5
Tous,2024,AVG,"Finances, assurances",1 à 4 employés,17545
Tous,2024,AVG,"Finances, assurances",100 employés et plus,867.5
Tous,2024,AVG,"Finances, assurances",20 à 99 employés,6382.5
Tous,2024,AVG,"Finances, assurances",5 à 19 employés,11720
Tous,2024,AVG,"Finances, assurances",Toutes les tailles,36515
Tous,2024,AVG,"Soins, santé et aide sociale",1 à 4 employés,66107.5
Tous,2024,AVG,"Soins, santé et aide sociale",100 employés et plus,1835
Tous,2024,AVG,"Soins, santé et aide sociale",20 à 99 employés,12770
Tous,2024,AVG,"Soins, santé et aide sociale",5 à 19 employés,35245
Tous,2024,AVG,"Soins, santé et aide sociale",Toutes les tailles,115957.5
Tous,2024,AVG,"Information, culture",1 à 4 employés,9202.5
Tous,2024,AVG,"Information, culture",100 employés et plus,637.5
Tous,2024,AVG,"Information, culture",20 à 99 employés,1935
Tous,2024,AVG,"Information, culture",5 à 19 employés,5700
Tous,2024,AVG,"Information, culture",Toutes les tailles,17475
Tous,2024,AVG,Fabrication,1 à 4 employés,18230
Tous,2024,AVG,Fabrication,100 employés et plus,3445
Tous,2024,AVG,Fabrication,20 à 99 employés,11725
Tous,2024,AVG,Fabrication,5 à 19 employés,19807.5
Tous,2024,AVG,Fabrication,Toutes les tailles,53207.5
Tous,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",1 à 4 employés,3755
Tous,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",100 employés et plus,342.5
Tous,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",20 à 99 employés,925
Tous,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",5 à 19 employés,1625
Tous,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",Toutes les tailles,6647.5
Tous,2024,AVG,Autres services (sauf administration publique),1 à 4 employés,55635
Tous,2024,AVG,Autres services (sauf administration publique),100 employés et plus,577.5
Tous,2024,AVG,Autres services (sauf administration publique),20 à 99 employés,6442.5
Tous,2024,AVG,Autres services (sauf administration publique),5 à 19 employés,36842.5
Tous,2024,AVG,Autres services (sauf administration publique),Toutes les tailles,99497.5
Tous,2024,AVG,"Services professionnels, scientifiques et techniques",1 à 4 employés,112410
Tous,2024,AVG,"Services professionnels, scientifiques et techniques",100 employés et plus,1495
Tous,2024,AVG,"Services professionnels, scientifiques et techniques",20 à 99 employés,9902.5
Tous,2024,AVG,"Services professionnels, scientifiques et techniques",5 à 19 employés,29300
Tous,2024,AVG,"Services professionnels, scientifiques et techniques",Toutes les tailles,153107.5
Tous,2024,AVG,Immobilier et location et crédit-bail,1 à 4 employés,40140
Tous,2024,AVG,Immobilier et location et crédit-bail,100 employés et plus,342.5
Tous,2024,AVG,Immobilier et location et crédit-bail,20 à 99 employés,2342.5
Tous,2024,AVG,Immobilier et location et crédit-bail,5 à 19 employés,9757.5
Tous,2024,AVG,Immobilier et location et crédit-bail,Toutes les tailles,52582.5
Tous,2024,AVG,Commerce de détail,1 à 4 employés,48590
Tous,2024,AVG,Commerce de détail,100 employés et plus,3195
Tous,2024,AVG,Commerce de détail,20 à 99 employés,20212.5
Tous,2024,AVG,Commerce de détail,5 à 19 employés,54695
Tous,2024,AVG,Commerce de détail,Toutes les tailles,126692.5
Tous,2024,AVG,Transport et entrposage,1 à 4 employés,51307.5
Tous,2024,AVG,Transport et entrposage,100 employés et plus,1085
Tous,2024,AVG,Transport et entrposage,20 à 99 employés,5585
Tous,2024,AVG,Transport et entrposage,5 à 19 employés,12575
Tous,2024,AVG,Transport et entrposage,Toutes les tailles,70552.5
Tous,2024,AVG,Commerce de gros,1 à 4 employés,21430
Tous,2024,AVG,Commerce de gros,100 employés et plus,1467.5
Tous,2024,AVG,Commerce de gros,20 à 99 employés,8347.5
Tous,2024,AVG,Commerce de gros,5 à 19 employés,21670
Tous,2024,AVG,Commerce de gros,Toutes les tailles,52915
Homme,2024,AVG,Tous secteurs confondus,1 à 4 employés,608465
Homme,2024,AVG,Tous secteurs confondus,100 employés et plus,20555
Homme,2024,AVG,Tous secteurs confondus,20 à 99 employés,125105
Homme,2024,AVG,Tous secteurs confondus,5 à 19 employés,341717.5
Homme,2024,AVG,Tous secteurs confondus,Toutes les tailles,1095842.5
Homme,2024,AVG,"Hébergement, restauration",1 à 4 employés,11072.5
Homme,2024,AVG,"Hébergement, restauration",100 employés et plus,1185
Homme,2024,AVG,"Hébergement, restauration",20 à 99 employés,16680
Homme,2024,AVG,"Hébergement, restauration",5 à 19 employés,27145
Homme,2024,AVG,"Hébergement, restauration",Toutes les tailles,56082.5
Homme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",1 à 4 employés,21617.5
Homme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",100 employés et plus,1192.5
Homme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",20 à 99 employés,4565
Homme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",5 à 19 employés,14565
Homme,2024,AVG,"Administratif et soutien, gestion des déchets et assainissement",Toutes les tailles,41940
Homme,2024,AVG,"Agriculture, foresterie, pêche et chasse",1 à 4 employés,27122.5
Homme,2024,AVG,"Agriculture, foresterie, pêche et chasse",100 employés et plus,320
Homme,2024,AVG,"Agriculture, foresterie, pêche et chasse",20 à 99 employés,2332.5
Homme,2024,AVG,"Agriculture, foresterie, pêche et chasse",5 à 19 employés,10410
Homme,2024,AVG,"Agriculture, foresterie, pêche et chasse",Toutes les tailles,40185
Homme,2024,AVG,"Arts, divertissements, loisirs",1 à 4 employés,5742.5
Homme,2024,AVG,"Arts, divertissements, loisirs",100 employés et plus,557.5
Homme,2024,AVG,"Arts, divertissements, loisirs",20 à 99 employés,2675
Homme,2024,AVG,"Arts, divertissements, loisirs",5 à 19 employés,5685
Homme,2024,AVG,"Arts, divertissements, loisirs",Toutes les tailles,14660
Homme,2024,AVG,Construction,1 à 4 employés,86242.5
Homme,2024,AVG,Construction,100 employés et plus,1700
Homme,2024,AVG,Construction,20 à 99 employés,10162.5
Homme,2024,AVG,Construction,5 à 19 employés,38890
Homme,2024,AVG,Construction,Toutes les tailles,136995
Homme,2024,AVG,"Finances, assurances",1 à 4 employés,13602.5
Homme,2024,AVG,"Finances, assurances",100 employés et plus,772.5
Homme,2024,AVG,"Finances, assurances",20 à 99 employés,5875
Homme,2024,AVG,"Finances, assurances",5 à 19 employés,10617.5
Homme,2024,AVG,"Finances, assurances",Toutes les tailles,30867.5
Homme,2024,AVG,"Soins, santé et aide sociale",1 à 4 employés,41322.5
Homme,2024,AVG,"Soins, santé et aide sociale",100 employés et plus,1542.5
Homme,2024,AVG,"Soins, santé et aide sociale",20 à 99 employés,10142.5
Homme,2024,AVG,"Soins, santé et aide sociale",5 à 19 employés,23105
Homme,2024,AVG,"Soins, santé et aide sociale",Toutes les tailles,76112.5
Homme,2024,AVG,"Information, culture",1 à 4 employés,7197.5
Homme,2024,AVG,"Information, culture",100 employés et plus,637.5
Homme,2024,AVG,"Information, culture",20 à 99 employés,1767.5
Homme,2024,AVG,"Information, culture",5 à 19 employés,5062.5
Homme,2024,AVG,"Information, culture",Toutes les tailles,14665
Homme,2024,AVG,Fabrication,1 à 4 employés,15457.5
Homme,2024,AVG,Fabrication,100 employés et plus,3420
Homme,2024,AVG,Fabrication,20 à 99 employés,11167.5
Homme,2024,AVG,Fabrication,5 à 19 employés,17135
Homme,2024,AVG,Fabrication,Toutes les tailles,47180
Homme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",1 à 4 employés,3652.5
Homme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",100 employés et plus,325
Homme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",20 à 99 employés,880
Homme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",5 à 19 employés,1545
Homme,2024,AVG,"Mines, carrières, extraction de pétrole et de gaz",Toutes les tailles,6402.5
Homme,2024,AVG,Autres services (sauf administration publique),1 à 4 employés,45585
Homme,2024,AVG,Autres services (sauf administration publique),100 employés et plus,565
Homme,2024,AVG,Autres services (sauf administration publique),20 à 99 employés,5567.5
Homme,2024,AVG,Autres services (sauf administration publique),5 à 19 employés,31885
Homme,2024,AVG,Autres services (sauf administration publique),Toutes les tailles,83602.5
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",1 à 4 employés,81242.5
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",100 employés et plus,1455
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",20 à 99 employés,9367.5
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",5 à 19 employés,20935
Homme,2024,AVG,"Services professionnels, scientifiques et techniques",Toutes les tailles,113000
Homme,2024,AVG,Immobilier et location et crédit-bail,1 à 4 employés,29352.5
Homme,2024,AVG,Immobilier et location et crédit-bail,100 employés et plus,307.5
Homme,2024,AVG,Immobilier et location et crédit-bail,20 à 99 employés,2122.5
Homme,2024,AVG,Immobilier et location et crédit-bail,5 à 19 employés,8535
Homme,2024,AVG,Immobilier et location et crédit-bail,Toutes les tailles,40317.5
Homme,2024,AVG,Commerce de détail,1 à 4 employés,34567.5
Homme,2024,AVG,Commerce de détail,100 employés et plus,3040
Homme,2024,AVG,Commerce de détail,20 à 99 employés,16367.5
Homme,2024,AVG,Commerce de détail,5 à 19 employés,43105
Homme,2024,AVG,Commerce de détail,Toutes les tailles,97080
Homme,2024,AVG,Transport et entrposage,1 à 4 employés,49107.5
Homme,2024,AVG,Transport et entrposage,100 employés et plus,1035
Homme,2024,AVG,Transport et entrposage,20 à 99 employés,5285
Homme,2024,AVG,Transport et entrposage,5 à 19 employés,11247.5
Homme,2024,AVG,Transport et entrposage,Toutes les tailles,66675
Homme,2024,AVG,Commerce de gros,1 à 4 employés,19010
Homme,2024,AVG,Commerce de gros,100 employés et plus,1407.5
Homme,2024,AVG,Commerce de gros,20 à 99 employés,7432.5
Homme,2024,AVG,Commerce de gros,5 à 19 employés,19982.5
Homme,2024,AVG,Commerce de gros,Toutes les tailles,47832.5
