"Date","Value","Macrobond_Code"
2022-11-01,48.8,"markit_3y_pmiglmanpm"
2022-12-01,48.7,"markit_3y_pmiglmanpm"
2023-01-01,49.1,"markit_3y_pmiglmanpm"
2023-02-01,49.9,"markit_3y_pmiglmanpm"
2023-03-01,49.6,"markit_3y_pmiglmanpm"
2023-04-01,49.6,"markit_3y_pmiglmanpm"
2023-05-01,49.5,"markit_3y_pmiglmanpm"
2023-06-01,48.7,"markit_3y_pmiglmanpm"
2023-07-01,48.6,"markit_3y_pmiglmanpm"
2023-08-01,49,"markit_3y_pmiglmanpm"
2023-09-01,49.2,"markit_3y_pmiglmanpm"
2023-10-01,48.8,"markit_3y_pmiglmanpm"
2023-11-01,49.3,"markit_3y_pmiglmanpm"
2023-12-01,49,"markit_3y_pmiglmanpm"
2024-01-01,50,"markit_3y_pmiglmanpm"
2024-02-01,50.3,"markit_3y_pmiglmanpm"
2024-03-01,50.6,"markit_3y_pmiglmanpm"
2024-04-01,50.3,"markit_3y_pmiglmanpm"
2024-05-01,51,"markit_3y_pmiglmanpm"
2024-06-01,50.9,"markit_3y_pmiglmanpm"
2024-07-01,49.7,"markit_3y_pmiglmanpm"
2024-08-01,49.6,"markit_3y_pmiglmanpm"
2024-09-01,48.7,"markit_3y_pmiglmanpm"
2024-10-01,49.4,"markit_3y_pmiglmanpm"
2024-11-01,50.1,"markit_3y_pmiglmanpm"
2024-12-01,49.6,"markit_3y_pmiglmanpm"
2025-01-01,50.1,"markit_3y_pmiglmanpm"
2025-02-01,50.6,"markit_3y_pmiglmanpm"
2025-03-01,50.3,"markit_3y_pmiglmanpm"
2025-04-01,49.8,"markit_3y_pmiglmanpm"
2025-05-01,49.5,"markit_3y_pmiglmanpm"
2025-06-01,50.4,"markit_3y_pmiglmanpm"
2025-07-01,49.7,"markit_3y_pmiglmanpm"
2025-08-01,50.9,"markit_3y_pmiglmanpm"
2025-09-01,50.7,"markit_3y_pmiglmanpm"
2025-10-01,50.8,"markit_3y_pmiglmanpm"
2022-11-01,47.8,"markit_3y_pmidmmanpm"
2022-12-01,47.3,"markit_3y_pmidmmanpm"
2023-01-01,48,"markit_3y_pmidmmanpm"
2023-02-01,48.1,"markit_3y_pmidmmanpm"
2023-03-01,48.4,"markit_3y_pmidmmanpm"
2023-04-01,48.5,"markit_3y_pmidmmanpm"
2023-05-01,47.6,"markit_3y_pmidmmanpm"
2023-06-01,46.3,"markit_3y_pmidmmanpm"
2023-07-01,47.1,"markit_3y_pmidmmanpm"
2023-08-01,46.8,"markit_3y_pmidmmanpm"
2023-09-01,47.4,"markit_3y_pmidmmanpm"
2023-10-01,47.5,"markit_3y_pmidmmanpm"
2023-11-01,47.7,"markit_3y_pmidmmanpm"
2023-12-01,47,"markit_3y_pmidmmanpm"
2024-01-01,48.9,"markit_3y_pmidmmanpm"
2024-02-01,49.3,"markit_3y_pmidmmanpm"
2024-03-01,49.3,"markit_3y_pmidmmanpm"
2024-04-01,48.6,"markit_3y_pmidmmanpm"
2024-05-01,50,"markit_3y_pmidmmanpm"
2024-06-01,49.7,"markit_3y_pmidmmanpm"
2024-07-01,48.8,"markit_3y_pmidmmanpm"
2024-08-01,48.3,"markit_3y_pmidmmanpm"
2024-09-01,47.5,"markit_3y_pmidmmanpm"
2024-10-01,48.1,"markit_3y_pmidmmanpm"
2024-11-01,48.4,"markit_3y_pmidmmanpm"
2024-12-01,48.2,"markit_3y_pmidmmanpm"
2025-01-01,49.3,"markit_3y_pmidmmanpm"
2025-02-01,50,"markit_3y_pmidmmanpm"
2025-03-01,49.1,"markit_3y_pmidmmanpm"
2025-04-01,49.1,"markit_3y_pmidmmanpm"
2025-05-01,50,"markit_3y_pmidmmanpm"
2025-06-01,50.5,"markit_3y_pmidmmanpm"
2025-07-01,49.2,"markit_3y_pmidmmanpm"
2025-08-01,50.9,"markit_3y_pmidmmanpm"
2025-09-01,50.3,"markit_3y_pmidmmanpm"
2025-10-01,50.6,"markit_3y_pmidmmanpm"
2022-11-01,49.6,"markit_3y_pmicamanpm"
2022-12-01,49.2,"markit_3y_pmicamanpm"
2023-01-01,51,"markit_3y_pmicamanpm"
2023-02-01,52.4,"markit_3y_pmicamanpm"
2023-03-01,48.6,"markit_3y_pmicamanpm"
2023-04-01,50.2,"markit_3y_pmicamanpm"
2023-05-01,49,"markit_3y_pmicamanpm"
2023-06-01,48.8,"markit_3y_pmicamanpm"
2023-07-01,49.6,"markit_3y_pmicamanpm"
2023-08-01,48,"markit_3y_pmicamanpm"
2023-09-01,47.5,"markit_3y_pmicamanpm"
2023-10-01,48.6,"markit_3y_pmicamanpm"
2023-11-01,47.7,"markit_3y_pmicamanpm"
2023-12-01,45.4,"markit_3y_pmicamanpm"
2024-01-01,48.3,"markit_3y_pmicamanpm"
2024-02-01,49.7,"markit_3y_pmicamanpm"
2024-03-01,49.8,"markit_3y_pmicamanpm"
2024-04-01,49.4,"markit_3y_pmicamanpm"
2024-05-01,49.3,"markit_3y_pmicamanpm"
2024-06-01,49.3,"markit_3y_pmicamanpm"
2024-07-01,47.8,"markit_3y_pmicamanpm"
2024-08-01,49.5,"markit_3y_pmicamanpm"
2024-09-01,50.4,"markit_3y_pmicamanpm"
2024-10-01,51.1,"markit_3y_pmicamanpm"
2024-11-01,52,"markit_3y_pmicamanpm"
2024-12-01,52.2,"markit_3y_pmicamanpm"
2025-01-01,51.6,"markit_3y_pmicamanpm"
2025-02-01,47.8,"markit_3y_pmicamanpm"
2025-03-01,46.3,"markit_3y_pmicamanpm"
2025-04-01,45.3,"markit_3y_pmicamanpm"
2025-05-01,46.1,"markit_3y_pmicamanpm"
2025-06-01,45.6,"markit_3y_pmicamanpm"
2025-07-01,46.1,"markit_3y_pmicamanpm"
2025-08-01,48.3,"markit_3y_pmicamanpm"
2025-09-01,47.7,"markit_3y_pmicamanpm"
2025-10-01,49.6,"markit_3y_pmicamanpm"
2022-12-01,46.2,"markit_3y_pmiusmanmepm"
2023-01-01,46.9,"markit_3y_pmiusmanmepm"
2023-02-01,47.3,"markit_3y_pmiusmanmepm"
2023-03-01,49.2,"markit_3y_pmiusmanmepm"
2023-04-01,50.2,"markit_3y_pmiusmanmepm"
2023-05-01,48.4,"markit_3y_pmiusmanmepm"
2023-06-01,46.3,"markit_3y_pmiusmanmepm"
2023-07-01,49,"markit_3y_pmiusmanmepm"
2023-08-01,47.9,"markit_3y_pmiusmanmepm"
2023-09-01,49.8,"markit_3y_pmiusmanmepm"
2023-10-01,50,"markit_3y_pmiusmanmepm"
2023-11-01,49.4,"markit_3y_pmiusmanmepm"
2023-12-01,47.9,"markit_3y_pmiusmanmepm"
2024-01-01,50.7,"markit_3y_pmiusmanmepm"
2024-02-01,52.2,"markit_3y_pmiusmanmepm"
2024-03-01,51.9,"markit_3y_pmiusmanmepm"
2024-04-01,50,"markit_3y_pmiusmanmepm"
2024-05-01,51.3,"markit_3y_pmiusmanmepm"
2024-06-01,51.6,"markit_3y_pmiusmanmepm"
2024-07-01,49.6,"markit_3y_pmiusmanmepm"
2024-08-01,47.9,"markit_3y_pmiusmanmepm"
2024-09-01,47.3,"markit_3y_pmiusmanmepm"
2024-10-01,48.5,"markit_3y_pmiusmanmepm"
2024-11-01,49.7,"markit_3y_pmiusmanmepm"
2024-12-01,49.4,"markit_3y_pmiusmanmepm"
2025-01-01,51.2,"markit_3y_pmiusmanmepm"
2025-02-01,52.7,"markit_3y_pmiusmanmepm"
2025-03-01,50.2,"markit_3y_pmiusmanmepm"
2025-04-01,50.2,"markit_3y_pmiusmanmepm"
2025-05-01,52,"markit_3y_pmiusmanmepm"
2025-06-01,52.9,"markit_3y_pmiusmanmepm"
2025-07-01,49.8,"markit_3y_pmiusmanmepm"
2025-08-01,53,"markit_3y_pmiusmanmepm"
2025-09-01,52,"markit_3y_pmiusmanmepm"
2025-10-01,52.5,"markit_3y_pmiusmanmepm"
2025-11-01,51.9,"markit_3y_pmiusmanmepm"
2022-12-01,48.9,"markit_3y_pmijpmanpm"
2023-01-01,48.9,"markit_3y_pmijpmanpm"
2023-02-01,47.7,"markit_3y_pmijpmanpm"
2023-03-01,49.2,"markit_3y_pmijpmanpm"
2023-04-01,49.5,"markit_3y_pmijpmanpm"
2023-05-01,50.6,"markit_3y_pmijpmanpm"
2023-06-01,49.8,"markit_3y_pmijpmanpm"
2023-07-01,49.6,"markit_3y_pmijpmanpm"
2023-08-01,49.6,"markit_3y_pmijpmanpm"
2023-09-01,48.5,"markit_3y_pmijpmanpm"
2023-10-01,48.7,"markit_3y_pmijpmanpm"
2023-11-01,48.3,"markit_3y_pmijpmanpm"
2023-12-01,47.9,"markit_3y_pmijpmanpm"
2024-01-01,48,"markit_3y_pmijpmanpm"
2024-02-01,47.2,"markit_3y_pmijpmanpm"
2024-03-01,48.2,"markit_3y_pmijpmanpm"
2024-04-01,49.6,"markit_3y_pmijpmanpm"
2024-05-01,50.4,"markit_3y_pmijpmanpm"
2024-06-01,50,"markit_3y_pmijpmanpm"
2024-07-01,49.1,"markit_3y_pmijpmanpm"
2024-08-01,49.8,"markit_3y_pmijpmanpm"
2024-09-01,49.7,"markit_3y_pmijpmanpm"
2024-10-01,49.2,"markit_3y_pmijpmanpm"
2024-11-01,49,"markit_3y_pmijpmanpm"
2024-12-01,49.6,"markit_3y_pmijpmanpm"
2025-01-01,48.7,"markit_3y_pmijpmanpm"
2025-02-01,49,"markit_3y_pmijpmanpm"
2025-03-01,48.4,"markit_3y_pmijpmanpm"
2025-04-01,48.7,"markit_3y_pmijpmanpm"
2025-05-01,49.4,"markit_3y_pmijpmanpm"
2025-06-01,50.1,"markit_3y_pmijpmanpm"
2025-07-01,48.9,"markit_3y_pmijpmanpm"
2025-08-01,49.7,"markit_3y_pmijpmanpm"
2025-09-01,48.5,"markit_3y_pmijpmanpm"
2025-10-01,48.2,"markit_3y_pmijpmanpm"
2025-11-01,48.8,"markit_3y_pmijpmanpm"
2022-12-01,45.3,"markit_3y_pmigbmanpm"
2023-01-01,47,"markit_3y_pmigbmanpm"
2023-02-01,49.3,"markit_3y_pmigbmanpm"
2023-03-01,47.9,"markit_3y_pmigbmanpm"
2023-04-01,47.8,"markit_3y_pmigbmanpm"
2023-05-01,47.1,"markit_3y_pmigbmanpm"
2023-06-01,46.5,"markit_3y_pmigbmanpm"
2023-07-01,45.3,"markit_3y_pmigbmanpm"
2023-08-01,43,"markit_3y_pmigbmanpm"
2023-09-01,44.3,"markit_3y_pmigbmanpm"
2023-10-01,44.8,"markit_3y_pmigbmanpm"
2023-11-01,47.2,"markit_3y_pmigbmanpm"
2023-12-01,46.2,"markit_3y_pmigbmanpm"
2024-01-01,47,"markit_3y_pmigbmanpm"
2024-02-01,47.5,"markit_3y_pmigbmanpm"
2024-03-01,50.3,"markit_3y_pmigbmanpm"
2024-04-01,49.1,"markit_3y_pmigbmanpm"
2024-05-01,51.2,"markit_3y_pmigbmanpm"
2024-06-01,50.9,"markit_3y_pmigbmanpm"
2024-07-01,52.1,"markit_3y_pmigbmanpm"
2024-08-01,52.5,"markit_3y_pmigbmanpm"
2024-09-01,51.5,"markit_3y_pmigbmanpm"
2024-10-01,49.9,"markit_3y_pmigbmanpm"
2024-11-01,48,"markit_3y_pmigbmanpm"
2024-12-01,47,"markit_3y_pmigbmanpm"
2025-01-01,48.3,"markit_3y_pmigbmanpm"
2025-02-01,46.9,"markit_3y_pmigbmanpm"
2025-03-01,44.9,"markit_3y_pmigbmanpm"
2025-04-01,45.4,"markit_3y_pmigbmanpm"
2025-05-01,46.4,"markit_3y_pmigbmanpm"
2025-06-01,47.7,"markit_3y_pmigbmanpm"
2025-07-01,48,"markit_3y_pmigbmanpm"
2025-08-01,47,"markit_3y_pmigbmanpm"
2025-09-01,46.2,"markit_3y_pmigbmanpm"
2025-10-01,49.7,"markit_3y_pmigbmanpm"
2025-11-01,50.2,"markit_3y_pmigbmanpm"
2022-12-01,47.8,"markit_3y_pmiezmanpm"
2023-01-01,48.8,"markit_3y_pmiezmanpm"
2023-02-01,48.5,"markit_3y_pmiezmanpm"
2023-03-01,47.3,"markit_3y_pmiezmanpm"
2023-04-01,45.8,"markit_3y_pmiezmanpm"
2023-05-01,44.8,"markit_3y_pmiezmanpm"
2023-06-01,43.4,"markit_3y_pmiezmanpm"
2023-07-01,42.7,"markit_3y_pmiezmanpm"
2023-08-01,43.5,"markit_3y_pmiezmanpm"
2023-09-01,43.4,"markit_3y_pmiezmanpm"
2023-10-01,43.1,"markit_3y_pmiezmanpm"
2023-11-01,44.2,"markit_3y_pmiezmanpm"
2023-12-01,44.4,"markit_3y_pmiezmanpm"
2024-01-01,46.6,"markit_3y_pmiezmanpm"
2024-02-01,46.5,"markit_3y_pmiezmanpm"
2024-03-01,46.1,"markit_3y_pmiezmanpm"
2024-04-01,45.7,"markit_3y_pmiezmanpm"
2024-05-01,47.3,"markit_3y_pmiezmanpm"
2024-06-01,45.8,"markit_3y_pmiezmanpm"
2024-07-01,45.8,"markit_3y_pmiezmanpm"
2024-08-01,45.8,"markit_3y_pmiezmanpm"
2024-09-01,45,"markit_3y_pmiezmanpm"
2024-10-01,46,"markit_3y_pmiezmanpm"
2024-11-01,45.2,"markit_3y_pmiezmanpm"
2024-12-01,45.1,"markit_3y_pmiezmanpm"
2025-01-01,46.6,"markit_3y_pmiezmanpm"
2025-02-01,47.6,"markit_3y_pmiezmanpm"
2025-03-01,48.6,"markit_3y_pmiezmanpm"
2025-04-01,49,"markit_3y_pmiezmanpm"
2025-05-01,49.4,"markit_3y_pmiezmanpm"
2025-06-01,49.5,"markit_3y_pmiezmanpm"
2025-07-01,49.8,"markit_3y_pmiezmanpm"
2025-08-01,50.7,"markit_3y_pmiezmanpm"
2025-09-01,49.8,"markit_3y_pmiezmanpm"
2025-10-01,50,"markit_3y_pmiezmanpm"
2025-11-01,49.7,"markit_3y_pmiezmanpm"
2022-12-01,47.1,"markit_3y_pmidemanpm"
2023-01-01,47.3,"markit_3y_pmidemanpm"
2023-02-01,46.3,"markit_3y_pmidemanpm"
2023-03-01,44.7,"markit_3y_pmidemanpm"
2023-04-01,44.5,"markit_3y_pmidemanpm"
2023-05-01,43.2,"markit_3y_pmidemanpm"
2023-06-01,40.6,"markit_3y_pmidemanpm"
2023-07-01,38.8,"markit_3y_pmidemanpm"
2023-08-01,39.1,"markit_3y_pmidemanpm"
2023-09-01,39.6,"markit_3y_pmidemanpm"
2023-10-01,40.8,"markit_3y_pmidemanpm"
2023-11-01,42.6,"markit_3y_pmidemanpm"
2023-12-01,43.3,"markit_3y_pmidemanpm"
2024-01-01,45.5,"markit_3y_pmidemanpm"
2024-02-01,42.5,"markit_3y_pmidemanpm"
2024-03-01,41.9,"markit_3y_pmidemanpm"
2024-04-01,42.5,"markit_3y_pmidemanpm"
2024-05-01,45.4,"markit_3y_pmidemanpm"
2024-06-01,43.5,"markit_3y_pmidemanpm"
2024-07-01,43.2,"markit_3y_pmidemanpm"
2024-08-01,42.4,"markit_3y_pmidemanpm"
2024-09-01,40.6,"markit_3y_pmidemanpm"
2024-10-01,43,"markit_3y_pmidemanpm"
2024-11-01,43,"markit_3y_pmidemanpm"
2024-12-01,42.5,"markit_3y_pmidemanpm"
2025-01-01,45,"markit_3y_pmidemanpm"
2025-02-01,46.5,"markit_3y_pmidemanpm"
2025-03-01,48.3,"markit_3y_pmidemanpm"
2025-04-01,48.4,"markit_3y_pmidemanpm"
2025-05-01,48.3,"markit_3y_pmidemanpm"
2025-06-01,49,"markit_3y_pmidemanpm"
2025-07-01,49.1,"markit_3y_pmidemanpm"
2025-08-01,49.8,"markit_3y_pmidemanpm"
2025-09-01,49.5,"markit_3y_pmidemanpm"
2025-10-01,49.6,"markit_3y_pmidemanpm"
2025-11-01,48.4,"markit_3y_pmidemanpm"
2022-12-01,49.2,"markit_3y_pmifrmanpm"
2023-01-01,50.5,"markit_3y_pmifrmanpm"
2023-02-01,47.4,"markit_3y_pmifrmanpm"
2023-03-01,47.3,"markit_3y_pmifrmanpm"
2023-04-01,45.6,"markit_3y_pmifrmanpm"
2023-05-01,45.7,"markit_3y_pmifrmanpm"
2023-06-01,46,"markit_3y_pmifrmanpm"
2023-07-01,45.1,"markit_3y_pmifrmanpm"
2023-08-01,46,"markit_3y_pmifrmanpm"
2023-09-01,44.2,"markit_3y_pmifrmanpm"
2023-10-01,42.8,"markit_3y_pmifrmanpm"
2023-11-01,42.9,"markit_3y_pmifrmanpm"
2023-12-01,42.1,"markit_3y_pmifrmanpm"
2024-01-01,43.1,"markit_3y_pmifrmanpm"
2024-02-01,47.1,"markit_3y_pmifrmanpm"
2024-03-01,46.2,"markit_3y_pmifrmanpm"
2024-04-01,45.3,"markit_3y_pmifrmanpm"
2024-05-01,46.4,"markit_3y_pmifrmanpm"
2024-06-01,45.4,"markit_3y_pmifrmanpm"
2024-07-01,44,"markit_3y_pmifrmanpm"
2024-08-01,43.9,"markit_3y_pmifrmanpm"
2024-09-01,44.6,"markit_3y_pmifrmanpm"
2024-10-01,44.5,"markit_3y_pmifrmanpm"
2024-11-01,43.1,"markit_3y_pmifrmanpm"
2024-12-01,41.9,"markit_3y_pmifrmanpm"
2025-01-01,45,"markit_3y_pmifrmanpm"
2025-02-01,45.8,"markit_3y_pmifrmanpm"
2025-03-01,48.5,"markit_3y_pmifrmanpm"
2025-04-01,48.7,"markit_3y_pmifrmanpm"
2025-05-01,49.8,"markit_3y_pmifrmanpm"
2025-06-01,48.1,"markit_3y_pmifrmanpm"
2025-07-01,48.2,"markit_3y_pmifrmanpm"
2025-08-01,50.4,"markit_3y_pmifrmanpm"
2025-09-01,48.2,"markit_3y_pmifrmanpm"
2025-10-01,48.8,"markit_3y_pmifrmanpm"
2025-11-01,47.8,"markit_3y_pmifrmanpm"
2022-11-01,48.4,"markit_3y_pmiitmanpm"
2022-12-01,48.5,"markit_3y_pmiitmanpm"
2023-01-01,50.4,"markit_3y_pmiitmanpm"
2023-02-01,52,"markit_3y_pmiitmanpm"
2023-03-01,51.1,"markit_3y_pmiitmanpm"
2023-04-01,46.8,"markit_3y_pmiitmanpm"
2023-05-01,45.9,"markit_3y_pmiitmanpm"
2023-06-01,43.8,"markit_3y_pmiitmanpm"
2023-07-01,44.5,"markit_3y_pmiitmanpm"
2023-08-01,45.4,"markit_3y_pmiitmanpm"
2023-09-01,46.8,"markit_3y_pmiitmanpm"
2023-10-01,44.9,"markit_3y_pmiitmanpm"
2023-11-01,44.4,"markit_3y_pmiitmanpm"
2023-12-01,45.3,"markit_3y_pmiitmanpm"
2024-01-01,48.5,"markit_3y_pmiitmanpm"
2024-02-01,48.7,"markit_3y_pmiitmanpm"
2024-03-01,50.4,"markit_3y_pmiitmanpm"
2024-04-01,47.3,"markit_3y_pmiitmanpm"
2024-05-01,45.6,"markit_3y_pmiitmanpm"
2024-06-01,45.7,"markit_3y_pmiitmanpm"
2024-07-01,47.4,"markit_3y_pmiitmanpm"
2024-08-01,49.4,"markit_3y_pmiitmanpm"
2024-09-01,48.3,"markit_3y_pmiitmanpm"
2024-10-01,46.9,"markit_3y_pmiitmanpm"
2024-11-01,44.5,"markit_3y_pmiitmanpm"
2024-12-01,46.2,"markit_3y_pmiitmanpm"
2025-01-01,46.3,"markit_3y_pmiitmanpm"
2025-02-01,47.4,"markit_3y_pmiitmanpm"
2025-03-01,46.6,"markit_3y_pmiitmanpm"
2025-04-01,49.3,"markit_3y_pmiitmanpm"
2025-05-01,49.2,"markit_3y_pmiitmanpm"
2025-06-01,48.4,"markit_3y_pmiitmanpm"
2025-07-01,49.8,"markit_3y_pmiitmanpm"
2025-08-01,50.4,"markit_3y_pmiitmanpm"
2025-09-01,49,"markit_3y_pmiitmanpm"
